True_Class,Anomaly_Score,Predicted_Class
0,1.1417753,0
0,0.73407555,0
0,1.9963287,0
0,1.3440226,0
0,1.692459,0
0,0.5969756,0
0,0.9136363,0
0,2.4466274,0
0,0.89127547,0
0,0.7506472,0
0,0.8888264,0
0,1.154022,0
0,1.0540217,0
0,0.6893997,0
0,3.1409538,0
0,1.6669208,0
0,0.66635597,0
0,0.9184233,0
0,2.7546384,0
0,0.764325,0
0,1.3577099,0
0,1.2295088,0
0,0.9568093,0
0,2.2076287,0
0,2.5132778,0
0,1.9414911,0
0,0.8589978,0
0,0.96801376,0
0,0.9468341,0
0,0.528144,0
0,0.63984317,0
0,0.6312924,0
0,0.8009389,0
0,0.8009389,0
0,0.80133593,0
0,0.80133593,0
0,0.73728245,0
0,1.1877706,0
0,1.4065531,0
0,0.583895,0
0,1.088494,0
0,1.1535099,0
0,0.84258133,0
0,1.3993218,0
0,1.5126522,0
0,0.6205491,0
0,1.1861259,0
0,1.2791828,0
0,1.4940443,0
0,0.8910275,0
0,1.0245813,0
0,3.8168838,0
0,1.9635422,0
0,0.67763346,0
0,0.5871305,0
0,1.1488369,0
0,1.4391159,0
0,1.4240533,0
0,0.5638217,0
0,0.7095394,0
0,1.278049,0
0,1.1045002,0
0,0.86354285,0
0,0.7728199,0
0,2.0695167,0
0,1.6304655,0
0,1.2826937,0
0,1.4657204,0
0,1.16471,0
0,4.1166806,0
0,0.6033678,0
0,0.9599959,0
0,0.5936329,0
0,0.934982,0
0,1.5248232,0
0,0.7671891,0
0,0.64761597,0
0,1.0881501,0
0,1.2189672,0
0,0.86399794,0
0,0.35337734,0
0,0.55182785,0
0,2.1516972,0
0,2.8926585,0
0,0.6723121,0
0,3.093869,0
0,0.990418,0
0,1.1624968,0
0,1.8315386,0
0,2.1813745,0
0,1.1584697,0
0,0.60300815,0
0,0.6930472,0
0,1.0782785,0
0,0.6752206,0
0,0.9152903,0
0,1.5547763,0
0,0.978026,0
0,1.6940516,0
0,0.35116628,0
0,0.5703975,0
0,0.9075323,0
0,2.4310548,0
0,1.4027932,0
0,2.5235322,0
0,2.4693322,0
0,1.0485601,0
0,0.8378463,0
0,2.078731,0
0,0.8658658,0
0,1.5136265,0
0,0.6462481,0
0,1.3693329,0
0,1.3693329,0
0,1.3693329,0
0,1.3693329,0
0,1.7374884,0
0,1.0746063,0
0,1.0665411,0
0,1.7181846,0
0,1.9658675,0
0,0.9914846,0
0,1.9236947,0
0,1.2005436,0
0,1.8112594,0
0,2.284105,0
0,1.9871088,0
0,0.6949099,0
0,2.0466156,0
0,0.56631756,0
